"Level";"Country";"State";"County";"Place";"Longitude";"Latitude";"ZoomLevel";"Icon"
1;NLD;Drenthe;;;;;7;places/NLD/flags/DR.gif
2;NLD;Drenthe;Aa en Hunze;;;;10;
3;NLD;Drenthe;Aa en Hunze;Achter 't Hout;;;12;
3;NLD;Drenthe;Aa en Hunze;Amen;;;12;
3;NLD;Drenthe;Aa en Hunze;Anderen;;;12;
3;NLD;Drenthe;Aa en Hunze;Anloo;;;12;
3;NLD;Drenthe;Aa en Hunze;Annen;;;12;
3;NLD;Drenthe;Aa en Hunze;Annerveen;;;12;
3;NLD;Drenthe;Aa en Hunze;Annerveensche Kanaal;;;12;
3;NLD;Drenthe;Aa en Hunze;Balloërveld;;;12;
3;NLD;Drenthe;Aa en Hunze;Balloo;;;12;
3;NLD;Drenthe;Aa en Hunze;Bareveld;;;12;
3;NLD;Drenthe;Aa en Hunze;Bonnen;;;12;
3;NLD;Drenthe;Aa en Hunze;Bonnerveen;;;12;
3;NLD;Drenthe;Aa en Hunze;Bosje;;;12;
3;NLD;Drenthe;Aa en Hunze;De Hilte;;;12;
3;NLD;Drenthe;Aa en Hunze;Deurze;;;12;
3;NLD;Drenthe;Aa en Hunze;Eext;;;12;
3;NLD;Drenthe;Aa en Hunze;Eexterveen;;;12;
3;NLD;Drenthe;Aa en Hunze;Eexterveensche Kanaal;;;12;
3;NLD;Drenthe;Aa en Hunze;Eexterzandvoort;;;12;
3;NLD;Drenthe;Aa en Hunze;Ekehaar;;;12;
3;NLD;Drenthe;Aa en Hunze;Eldersloo;;;12;
3;NLD;Drenthe;Aa en Hunze;Eleveld;;;12;
3;NLD;Drenthe;Aa en Hunze;Gasselte;;;12;
3;NLD;Drenthe;Aa en Hunze;Gasselterboerveen;;;12;
3;NLD;Drenthe;Aa en Hunze;Gasselterboerveenschemond;;;12;
3;NLD;Drenthe;Aa en Hunze;Gasselternijveen;E6.84747851323617;N52.9864321657083;12;
3;NLD;Drenthe;Aa en Hunze;Gasselternijveenschemond;;;12;
3;NLD;Drenthe;Aa en Hunze;Gasselternijveenschemond 1e Dwarsdiep;;;12;
3;NLD;Drenthe;Aa en Hunze;Gasselternijveenschemond 2e Dwarsdiep;;;12;
3;NLD;Drenthe;Aa en Hunze;Gasteren;;;12;
3;NLD;Drenthe;Aa en Hunze;Geelbroek;;;12;
3;NLD;Drenthe;Aa en Hunze;Gieten;E6.76371136570784;N53.0060416388154;12;
3;NLD;Drenthe;Aa en Hunze;Gieterveen;;;12;
3;NLD;Drenthe;Aa en Hunze;Gieterzandvoort;;;12;
3;NLD;Drenthe;Aa en Hunze;Grolloo;;;12;
3;NLD;Drenthe;Aa en Hunze;Kostvlies;;;12;
3;NLD;Drenthe;Aa en Hunze;Marwijksoord;;;12;
3;NLD;Drenthe;Aa en Hunze;Nieuw-Annerveen;;;12;
3;NLD;Drenthe;Aa en Hunze;Nieuwediep;;;12;
3;NLD;Drenthe;Aa en Hunze;Nijlande;;;12;
3;NLD;Drenthe;Aa en Hunze;Nooitgedacht;;;12;
3;NLD;Drenthe;Aa en Hunze;Oud-Annerveen;;;12;
3;NLD;Drenthe;Aa en Hunze;Papenvoort;;;12;
3;NLD;Drenthe;Aa en Hunze;Rolde;;;12;
3;NLD;Drenthe;Aa en Hunze;Schipborg;;;12;
3;NLD;Drenthe;Aa en Hunze;Schoonlo;;;12;
3;NLD;Drenthe;Aa en Hunze;Schoonloo;;;12;
3;NLD;Drenthe;Aa en Hunze;Schreierswijk;;;12;
3;NLD;Drenthe;Aa en Hunze;Spijkerboor;;;12;
3;NLD;Drenthe;Aa en Hunze;Streek;;;12;
3;NLD;Drenthe;Aa en Hunze;Torenveen;;;12;
3;NLD;Drenthe;Aa en Hunze;Veenhof;;;12;
3;NLD;Drenthe;Aa en Hunze;Vredenheim;;;12;
2;NLD;Drenthe;Assen;;;;10;
3;NLD;Drenthe;Assen;Anreep;;;12;
3;NLD;Drenthe;Assen;Assen;E6.55949297839269;N52.9940888077679;12;
3;NLD;Drenthe;Assen;De Haar;;;12;
3;NLD;Drenthe;Assen;Graswijk;;;12;
3;NLD;Drenthe;Assen;Kloosterveen;;;12;
3;NLD;Drenthe;Assen;Loon;;;12;
3;NLD;Drenthe;Assen;Peelo;;;12;
3;NLD;Drenthe;Assen;Rhee;;;12;
3;NLD;Drenthe;Assen;Schieven;;;12;
3;NLD;Drenthe;Assen;Ter Aard;;;12;
3;NLD;Drenthe;Assen;Ubbena;;;12;
3;NLD;Drenthe;Assen;Witten;;;12;
3;NLD;Drenthe;Assen;Zeijerveen;;;12;
3;NLD;Drenthe;Assen;Zeijerveld;;;12;
2;NLD;Drenthe;Borger-Odoorn;;;;10;
3;NLD;Drenthe;Borger-Odoorn;Borger;E6.79386793155392;N52.9241647461399;12;
3;NLD;Drenthe;Borger-Odoorn;Bronneger;;;12;
3;NLD;Drenthe;Borger-Odoorn;Bronnegerveen;;;12;
3;NLD;Drenthe;Borger-Odoorn;Buinen;;;12;
3;NLD;Drenthe;Borger-Odoorn;Buinerveen;;;12;
3;NLD;Drenthe;Borger-Odoorn;Drouwen;;;12;
3;NLD;Drenthe;Borger-Odoorn;Drouwenermond;;;12;
3;NLD;Drenthe;Borger-Odoorn;Drouwenerveen;;;12;
3;NLD;Drenthe;Borger-Odoorn;Eerste Exloermond;;;12;
3;NLD;Drenthe;Borger-Odoorn;Eerste Valthermond;;;12;
3;NLD;Drenthe;Borger-Odoorn;Ees;;;12;
3;NLD;Drenthe;Borger-Odoorn;Eesergroen;;;12;
3;NLD;Drenthe;Borger-Odoorn;Eeserveen;;;12;
3;NLD;Drenthe;Borger-Odoorn;Ellertshaar;;;12;
3;NLD;Drenthe;Borger-Odoorn;Exloërveen;;;12;
3;NLD;Drenthe;Borger-Odoorn;Exloo;;;12;
3;NLD;Drenthe;Borger-Odoorn;Klijndijk;;;12;
3;NLD;Drenthe;Borger-Odoorn;Nieuw-Buinen;;;12;
3;NLD;Drenthe;Borger-Odoorn;Odoorn;;;12;
3;NLD;Drenthe;Borger-Odoorn;Odoornerveen;;;12;
3;NLD;Drenthe;Borger-Odoorn;Tweede Exloërmond;;;12;
3;NLD;Drenthe;Borger-Odoorn;Tweede Valthermond;;;12;
3;NLD;Drenthe;Borger-Odoorn;Valthe;;;12;
3;NLD;Drenthe;Borger-Odoorn;Valthermond;;;12;
3;NLD;Drenthe;Borger-Odoorn;Westdorp;;;12;
3;NLD;Drenthe;Borger-Odoorn;Zandberg;;;12;
2;NLD;Drenthe;Coevorden;;;;10;
3;NLD;Drenthe;Coevorden;'t Haantje;;;12;
3;NLD;Drenthe;Coevorden;Aalden;;;12;
3;NLD;Drenthe;Coevorden;Achterste Erm;;;12;
3;NLD;Drenthe;Coevorden;Ballast;;;12;
3;NLD;Drenthe;Coevorden;Benneveld;;;12;
3;NLD;Drenthe;Coevorden;Bovensteenwijksmoer;;;12;
3;NLD;Drenthe;Coevorden;Coevorden;;;12;
3;NLD;Drenthe;Coevorden;Dalen;;;12;
3;NLD;Drenthe;Coevorden;Dalerend;;;12;
3;NLD;Drenthe;Coevorden;Dalerpeel;;;12;
3;NLD;Drenthe;Coevorden;Dalerveen;;;12;
3;NLD;Drenthe;Coevorden;De Bente;;;12;
3;NLD;Drenthe;Coevorden;De Haar;;;12;
3;NLD;Drenthe;Coevorden;De Kiel;;;12;
3;NLD;Drenthe;Coevorden;De Klencke;;;12;
3;NLD;Drenthe;Coevorden;De Mars;;;12;
3;NLD;Drenthe;Coevorden;Den Hool;;;12;
3;NLD;Drenthe;Coevorden;Diphoorn;;;12;
3;NLD;Drenthe;Coevorden;Eldijk;;;12;
3;NLD;Drenthe;Coevorden;Erm;;;12;
3;NLD;Drenthe;Coevorden;Ermerveen;;;12;
3;NLD;Drenthe;Coevorden;Gees;;;12;
3;NLD;Drenthe;Coevorden;Geesbrug;;;12;
3;NLD;Drenthe;Coevorden;Grevenberg;;;12;
3;NLD;Drenthe;Coevorden;Holsloot;;;12;
3;NLD;Drenthe;Coevorden;Hoogehaar;;;12;
3;NLD;Drenthe;Coevorden;Kibbelveen;;;12;
3;NLD;Drenthe;Coevorden;Klooster;;;12;
3;NLD;Drenthe;Coevorden;Meppen;;;12;
3;NLD;Drenthe;Coevorden;Nieuw Zwinderen;;;12;
3;NLD;Drenthe;Coevorden;Nieuwe Krim;;;12;
3;NLD;Drenthe;Coevorden;Nieuwlande;;;12;
3;NLD;Drenthe;Coevorden;Noord-Sleen;;;12;
3;NLD;Drenthe;Coevorden;Oosterhesselen;;;12;
3;NLD;Drenthe;Coevorden;Padhuis;;;12;
3;NLD;Drenthe;Coevorden;Pikveld;;;12;
3;NLD;Drenthe;Coevorden;Schimmelarij;;;12;
3;NLD;Drenthe;Coevorden;Schoonoord;;;12;
3;NLD;Drenthe;Coevorden;Sleen;;;12;
3;NLD;Drenthe;Coevorden;Steenwijksmoer;;;12;
3;NLD;Drenthe;Coevorden;Stieltjeskanaal;;;12;
3;NLD;Drenthe;Coevorden;Valsteeg;;;12;
3;NLD;Drenthe;Coevorden;Veenhuizen;;;12;
3;NLD;Drenthe;Coevorden;Vlieghuis;;;12;
3;NLD;Drenthe;Coevorden;Vossebelt;;;12;
3;NLD;Drenthe;Coevorden;Wachtum;;;12;
3;NLD;Drenthe;Coevorden;Weijerswold;;;12;
3;NLD;Drenthe;Coevorden;Wezup;;;12;
3;NLD;Drenthe;Coevorden;Wezuperbrug;;;12;
3;NLD;Drenthe;Coevorden;Zweeloo;;;12;
3;NLD;Drenthe;Coevorden;Zwinderen;;;12;
2;NLD;Drenthe;De Wolden;;;;10;
3;NLD;Drenthe;De Wolden;Alteveer;;;12;
3;NLD;Drenthe;De Wolden;Anholt;;;12;
3;NLD;Drenthe;De Wolden;Ansen;;;12;
3;NLD;Drenthe;De Wolden;Armweide;;;12;
3;NLD;Drenthe;De Wolden;Baltinge;;;12;
3;NLD;Drenthe;De Wolden;Bazuin;;;12;
3;NLD;Drenthe;De Wolden;Bendersche;;;12;
3;NLD;Drenthe;De Wolden;Berghuizen;;;12;
3;NLD;Drenthe;De Wolden;Blijdenstein;;;12;
3;NLD;Drenthe;De Wolden;Bloemberg;;;12;
3;NLD;Drenthe;De Wolden;Braamberg;;;12;
3;NLD;Drenthe;De Wolden;Broekhuizen;;;12;
3;NLD;Drenthe;De Wolden;Buitenhuizen;;;12;
3;NLD;Drenthe;De Wolden;De Oude Tol;;;12;
3;NLD;Drenthe;De Wolden;De Stapel;;;12;
3;NLD;Drenthe;De Wolden;De Stuw;;;12;
3;NLD;Drenthe;De Wolden;De Tippe;;;12;
3;NLD;Drenthe;De Wolden;De Wijk;;;12;
3;NLD;Drenthe;De Wolden;Dijkhuizen;;;12;
3;NLD;Drenthe;De Wolden;Dikninge;;;12;
3;NLD;Drenthe;De Wolden;Drogt;;;12;
3;NLD;Drenthe;De Wolden;Drogteropslagen;;;12;
3;NLD;Drenthe;De Wolden;Dunnigen;;;12;
3;NLD;Drenthe;De Wolden;Echten;;;12;
3;NLD;Drenthe;De Wolden;Eemten;;;12;
3;NLD;Drenthe;De Wolden;Engeland;;;12;
3;NLD;Drenthe;De Wolden;Eursinge;;;12;
3;NLD;Drenthe;De Wolden;Fort;;;12;
3;NLD;Drenthe;De Wolden;Gijsselte;;;12;
3;NLD;Drenthe;De Wolden;Haakswold;;;12;
3;NLD;Drenthe;De Wolden;Haalweide;;;12;
3;NLD;Drenthe;De Wolden;Hees;;;12;
3;NLD;Drenthe;De Wolden;Hoge Linthorst;;;12;
3;NLD;Drenthe;De Wolden;Kerkenveld;;;12;
3;NLD;Drenthe;De Wolden;Koekange;;;12;
3;NLD;Drenthe;De Wolden;Koekangerveld;;;12;
3;NLD;Drenthe;De Wolden;Kraloo;;;12;
3;NLD;Drenthe;De Wolden;Leeuwte;;;12;
3;NLD;Drenthe;De Wolden;Linde;;;12;
3;NLD;Drenthe;De Wolden;Lubbinge;;;12;
3;NLD;Drenthe;De Wolden;Lunssloten;;;12;
3;NLD;Drenthe;De Wolden;Middelveen;;;12;
3;NLD;Drenthe;De Wolden;Nolde;;;12;
3;NLD;Drenthe;De Wolden;Noordwijk;;;12;
3;NLD;Drenthe;De Wolden;Oldenhave;;;12;
3;NLD;Drenthe;De Wolden;Oosteinde;;;12;
3;NLD;Drenthe;De Wolden;Oosterwijk;;;12;
3;NLD;Drenthe;De Wolden;Oshaar;;;12;
3;NLD;Drenthe;De Wolden;Oud Veeningen;;;12;
3;NLD;Drenthe;De Wolden;Paardelanden;;;12;
3;NLD;Drenthe;De Wolden;Pieperij;;;12;
3;NLD;Drenthe;De Wolden;Rheebruggen;;;12;
3;NLD;Drenthe;De Wolden;Ruinen;;;12;
3;NLD;Drenthe;De Wolden;Ruinerweide;;;12;
3;NLD;Drenthe;De Wolden;Ruinerwold;;;12;
3;NLD;Drenthe;De Wolden;Schottershuizen;;;12;
3;NLD;Drenthe;De Wolden;Schrapveen;;;12;
3;NLD;Drenthe;De Wolden;Steenbergen;;;12;
3;NLD;Drenthe;De Wolden;Struikberg;;;12;
3;NLD;Drenthe;De Wolden;Ten Arlo;;;12;
3;NLD;Drenthe;De Wolden;Veeningen;;;12;
3;NLD;Drenthe;De Wolden;Vuile Riete;;;12;
3;NLD;Drenthe;De Wolden;Weerwille;;;12;
3;NLD;Drenthe;De Wolden;Wemmenhove;;;12;
3;NLD;Drenthe;De Wolden;Witteveen;;;12;
3;NLD;Drenthe;De Wolden;Zuidwolde;E6.42855867889037;N52.6767274830778;12;
2;NLD;Drenthe;Eelde;;;;10;
2;NLD;Drenthe;Emmen;;;;10;
3;NLD;Drenthe;Emmen;Amsterdamsche Veld;;;12;
3;NLD;Drenthe;Emmen;Amsterdamscheveld;;;12;
3;NLD;Drenthe;Emmen;Angelso;;;12;
3;NLD;Drenthe;Emmen;Barger Erfsch Veen;;;12;
3;NLD;Drenthe;Emmen;Barger Oosterveen;;;12;
3;NLD;Drenthe;Emmen;Barger-Compascuüm;;;12;
3;NLD;Drenthe;Emmen;Barger-Erfafscheidenveen;;;12;
3;NLD;Drenthe;Emmen;Barger-Oosterveen;;;12;
3;NLD;Drenthe;Emmen;Barger-Oosterveld;;;12;
3;NLD;Drenthe;Emmen;Bargermeer;;;12;
3;NLD;Drenthe;Emmen;Berkenrode;;;12;
3;NLD;Drenthe;Emmen;Emmen;E6.96234650026333;N52.7497558656836;12;
3;NLD;Drenthe;Emmen;Emmer-Compascuum;;;12;
3;NLD;Drenthe;Emmen;Emmer-Erfscheidenveen;;;12;
3;NLD;Drenthe;Emmen;Erica;;;12;
3;NLD;Drenthe;Emmen;Halfweg;;;12;
3;NLD;Drenthe;Emmen;Klazienaveen;;;12;
3;NLD;Drenthe;Emmen;Koelveen;;;12;
3;NLD;Drenthe;Emmen;Middendorp;;;12;
3;NLD;Drenthe;Emmen;Nieuw-Amsterdam;;;12;
3;NLD;Drenthe;Emmen;Nieuw-Dordrecht;;;12;
3;NLD;Drenthe;Emmen;Nieuw-Schoonebeek;;;12;
3;NLD;Drenthe;Emmen;Nieuw-Weerdinge;;;12;
3;NLD;Drenthe;Emmen;Oosterse Bos;;;12;
3;NLD;Drenthe;Emmen;Oranjedorp;;;12;
3;NLD;Drenthe;Emmen;Roswinkel;;;12;
3;NLD;Drenthe;Emmen;Schoonebeek;;;12;
3;NLD;Drenthe;Emmen;Schutwijk;;;12;
3;NLD;Drenthe;Emmen;Veenoord;;;12;
3;NLD;Drenthe;Emmen;Weerdinge;;;12;
3;NLD;Drenthe;Emmen;Weiteveen;;;12;
3;NLD;Drenthe;Emmen;Westenesch;;;12;
3;NLD;Drenthe;Emmen;Westerse Bos;;;12;
3;NLD;Drenthe;Emmen;Wilhelmsoord;;;12;
3;NLD;Drenthe;Emmen;Zandpol;;;12;
3;NLD;Drenthe;Emmen;Zuidbarge;;;12;
3;NLD;Drenthe;Emmen;Zwartemeer;;;12;
2;NLD;Drenthe;Gasselte;;E6.78879907741612;N52.9666416925882;10;
2;NLD;Drenthe;Hoogeveen;;;;10;
3;NLD;Drenthe;Hoogeveen;Achterom;;;12;
3;NLD;Drenthe;Hoogeveen;Elim;;;12;
3;NLD;Drenthe;Hoogeveen;Fluitenberg;;;12;
3;NLD;Drenthe;Hoogeveen;Hollandscheveld;;;12;
3;NLD;Drenthe;Hoogeveen;Hoogeveen;;;12;
3;NLD;Drenthe;Hoogeveen;Kalenberg;;;12;
3;NLD;Drenthe;Hoogeveen;Moscou;;;12;
3;NLD;Drenthe;Hoogeveen;Nieuweroord;;;12;
3;NLD;Drenthe;Hoogeveen;Nieuwlande;;;12;
3;NLD;Drenthe;Hoogeveen;Noordscheschut;;;12;
3;NLD;Drenthe;Hoogeveen;Nuil;;;12;
3;NLD;Drenthe;Hoogeveen;Pesse;;;12;
3;NLD;Drenthe;Hoogeveen;Stadterij;;;12;
3;NLD;Drenthe;Hoogeveen;Stuifzand;;;12;
3;NLD;Drenthe;Hoogeveen;Tiendeveen;;;12;
3;NLD;Drenthe;Hoogeveen;Zuideropgaande;;;12;
3;NLD;Drenthe;Hoogeveen;Zwartschaap;;;12;
2;NLD;Drenthe;Meppel;;;;10;
3;NLD;Drenthe;Meppel;Broekhuizen;;;12;
3;NLD;Drenthe;Meppel;De Kolk;;;12;
3;NLD;Drenthe;Meppel;Havelterberg;;;12;
3;NLD;Drenthe;Meppel;Havixhorst;;;12;
3;NLD;Drenthe;Meppel;Kolderveen;;;12;
3;NLD;Drenthe;Meppel;Kolderveense Bovenboer;;;12;
3;NLD;Drenthe;Meppel;Lindenhorst;;;12;
3;NLD;Drenthe;Meppel;Meppel;E6.19624601597166;N52.6996700884999;12;
3;NLD;Drenthe;Meppel;Nijentap;;;12;
3;NLD;Drenthe;Meppel;Nijeveen;;;12;
3;NLD;Drenthe;Meppel;Nijeveense Bovenboer;;;12;
3;NLD;Drenthe;Meppel;Oosterboer;;;12;
3;NLD;Drenthe;Meppel;Rogat;;;12;
3;NLD;Drenthe;Meppel;Schiphorst;;;12;
2;NLD;Drenthe;Midden-Drenthe;;;;10;
3;NLD;Drenthe;Midden-Drenthe;Balinge;;;12;
3;NLD;Drenthe;Midden-Drenthe;Beilen;;;12;
3;NLD;Drenthe;Midden-Drenthe;Bovensmilde;;;12;
3;NLD;Drenthe;Midden-Drenthe;Brunsting;;;12;
3;NLD;Drenthe;Midden-Drenthe;Bruntinge;;;12;
3;NLD;Drenthe;Midden-Drenthe;Drijber;;;12;
3;NLD;Drenthe;Midden-Drenthe;Elp;;;12;
3;NLD;Drenthe;Midden-Drenthe;Eursinge;;;12;
3;NLD;Drenthe;Midden-Drenthe;Garminge;;;12;
3;NLD;Drenthe;Midden-Drenthe;Hijken;;;12;
3;NLD;Drenthe;Midden-Drenthe;Hijkersmilde;;;12;
3;NLD;Drenthe;Midden-Drenthe;Holthe;;;12;
3;NLD;Drenthe;Midden-Drenthe;Hoogersmilde;;;12;
3;NLD;Drenthe;Midden-Drenthe;Hooghalen;E6.54153726483837;N52.9190113684111;12;
3;NLD;Drenthe;Midden-Drenthe;Laaghalen;;;12;
3;NLD;Drenthe;Midden-Drenthe;Laaghalerveen;;;12;
3;NLD;Drenthe;Midden-Drenthe;Lieving;;;12;
3;NLD;Drenthe;Midden-Drenthe;Makkum;;;12;
3;NLD;Drenthe;Midden-Drenthe;Mantinge;;;12;
3;NLD;Drenthe;Midden-Drenthe;Nieuw-Balinge;;;12;
3;NLD;Drenthe;Midden-Drenthe;Oranje;;;12;
3;NLD;Drenthe;Midden-Drenthe;Orvelte;;;12;
3;NLD;Drenthe;Midden-Drenthe;Smilde;;;12;
3;NLD;Drenthe;Midden-Drenthe;Spier;;;12;
3;NLD;Drenthe;Midden-Drenthe;Westerbork;E6.61224466378681;N52.8501050049694;12;
3;NLD;Drenthe;Midden-Drenthe;Wijster;;;12;
3;NLD;Drenthe;Midden-Drenthe;Witteveen;;;12;
3;NLD;Drenthe;Midden-Drenthe;Zuidveld;;;12;
3;NLD;Drenthe;Midden-Drenthe;Zwiggelte;;;12;
2;NLD;Drenthe;Noordenveld;;;;10;
3;NLD;Drenthe;Noordenveld;Altena;;;12;
3;NLD;Drenthe;Noordenveld;Alteveer;;;12;
3;NLD;Drenthe;Noordenveld;Amerika;;;12;
3;NLD;Drenthe;Noordenveld;Boerelaan;;;12;
3;NLD;Drenthe;Noordenveld;De Horst;;;12;
3;NLD;Drenthe;Noordenveld;De Pol;;;12;
3;NLD;Drenthe;Noordenveld;Een;;;12;
3;NLD;Drenthe;Noordenveld;Een-West;;;12;
3;NLD;Drenthe;Noordenveld;Foxwolde;;;12;
3;NLD;Drenthe;Noordenveld;Huis ter Heide;;;12;
3;NLD;Drenthe;Noordenveld;Langelo;;;12;
3;NLD;Drenthe;Noordenveld;Leutingewolde;;;12;
3;NLD;Drenthe;Noordenveld;Lieveren;;;12;
3;NLD;Drenthe;Noordenveld;Matsloot;;;12;
3;NLD;Drenthe;Noordenveld;Nietap;;;12;
3;NLD;Drenthe;Noordenveld;Nieuw-Roden;;;12;
3;NLD;Drenthe;Noordenveld;Norg;;;12;
3;NLD;Drenthe;Noordenveld;Norgervaart;;;12;
3;NLD;Drenthe;Noordenveld;Peest;;;12;
3;NLD;Drenthe;Noordenveld;Peize;;;12;
3;NLD;Drenthe;Noordenveld;Peizermade;;;12;
3;NLD;Drenthe;Noordenveld;Peizerwold;;;12;
3;NLD;Drenthe;Noordenveld;Roden;E6.43294024524293;N53.1370036859612;12;
3;NLD;Drenthe;Noordenveld;Roderesch;;;12;
3;NLD;Drenthe;Noordenveld;Roderwolde;;;12;
3;NLD;Drenthe;Noordenveld;Sandebuur;;;12;
3;NLD;Drenthe;Noordenveld;Steenbergen;;;12;
3;NLD;Drenthe;Noordenveld;Terheijl;;;12;
3;NLD;Drenthe;Noordenveld;Veenhuizen;;;12;
3;NLD;Drenthe;Noordenveld;Westervelde;;;12;
3;NLD;Drenthe;Noordenveld;Zuidvelde;;;12;
2;NLD;Drenthe;Norg;;;;10;
2;NLD;Drenthe;Roden;;;;10;
2;NLD;Drenthe;Rolde;;;;10;
2;NLD;Drenthe;Tynaarlo;;;;10;
3;NLD;Drenthe;Tynaarlo;Bunne;;;12;
3;NLD;Drenthe;Tynaarlo;Bunnerveen;;;12;
3;NLD;Drenthe;Tynaarlo;De Groeve;;;12;
3;NLD;Drenthe;Tynaarlo;De Punt;;;12;
3;NLD;Drenthe;Tynaarlo;Donderen;;;12;
3;NLD;Drenthe;Tynaarlo;Eelde;;;12;
3;NLD;Drenthe;Tynaarlo;Eelderwolde;;;12;
3;NLD;Drenthe;Tynaarlo;Midlaren;E6.6761654160212;N53.1111206841014;12;
3;NLD;Drenthe;Tynaarlo;Oudemolen;;;12;
3;NLD;Drenthe;Tynaarlo;Paterswolde;E6.56756882331258;N53.1492194792918;12;
3;NLD;Drenthe;Tynaarlo;Schuilingsoord;;;12;
3;NLD;Drenthe;Tynaarlo;Taarlo;;;12;
3;NLD;Drenthe;Tynaarlo;Tynaarlo;;;12;
3;NLD;Drenthe;Tynaarlo;Vries;E6.57822263775733;N53.0738244361386;12;
3;NLD;Drenthe;Tynaarlo;Westlaren;;;12;
3;NLD;Drenthe;Tynaarlo;Winde;;;12;
3;NLD;Drenthe;Tynaarlo;Yde;;;12;
3;NLD;Drenthe;Tynaarlo;Zeegse;;;12;
3;NLD;Drenthe;Tynaarlo;Zeijen;;;12;
3;NLD;Drenthe;Tynaarlo;Zuidlaarderveen;;;12;
3;NLD;Drenthe;Tynaarlo;Zuidlaren;E6.68724782483637;N53.0946189470667;12;
2;NLD;Drenthe;Westerveld;;;;10;
3;NLD;Drenthe;Westerveld;Berkenheuvel;;;12;
3;NLD;Drenthe;Westerveld;Boschoord;;;12;
3;NLD;Drenthe;Westerveld;Boterveen;;;12;
3;NLD;Drenthe;Westerveld;Busselte;;;12;
3;NLD;Drenthe;Westerveld;Darp;;;12;
3;NLD;Drenthe;Westerveld;De Moesberg;;;12;
3;NLD;Drenthe;Westerveld;Diever;;;12;
3;NLD;Drenthe;Westerveld;Dieverbrug;;;12;
3;NLD;Drenthe;Westerveld;Doldersum;;;12;
3;NLD;Drenthe;Westerveld;Dwingeloo;;;12;
3;NLD;Drenthe;Westerveld;Eemster;;;12;
3;NLD;Drenthe;Westerveld;Eursinge;;;12;
3;NLD;Drenthe;Westerveld;Frederiksoord;;;12;
3;NLD;Drenthe;Westerveld;Geeuwenbrug;;;12;
3;NLD;Drenthe;Westerveld;Havelte;;;12;
3;NLD;Drenthe;Westerveld;Havelterberg;;;12;
3;NLD;Drenthe;Westerveld;Het Moer;;;12;
3;NLD;Drenthe;Westerveld;Het Schier;;;12;
3;NLD;Drenthe;Westerveld;Holtien;;;12;
3;NLD;Drenthe;Westerveld;Holtinge;;;12;
3;NLD;Drenthe;Westerveld;Holtland;;;12;
3;NLD;Drenthe;Westerveld;Kalteren;;;12;
3;NLD;Drenthe;Westerveld;Leggeloo;;;12;
3;NLD;Drenthe;Westerveld;Lhee;;;12;
3;NLD;Drenthe;Westerveld;Lheebroek;;;12;
3;NLD;Drenthe;Westerveld;Molenstad;;;12;
3;NLD;Drenthe;Westerveld;Nieuw-Balinge;;;12;
3;NLD;Drenthe;Westerveld;Nijensleek;;;12;
3;NLD;Drenthe;Westerveld;Oldendiever;;;12;
3;NLD;Drenthe;Westerveld;Oude Willem;;;12;
3;NLD;Drenthe;Westerveld;Soerte;;;12;
3;NLD;Drenthe;Westerveld;Ten Have;;;12;
3;NLD;Drenthe;Westerveld;Uffelte;;;12;
3;NLD;Drenthe;Westerveld;Veendijk;;;12;
3;NLD;Drenthe;Westerveld;Veenhuizen;;;12;
3;NLD;Drenthe;Westerveld;Veldhuizen;;;12;
3;NLD;Drenthe;Westerveld;Vledder;;;12;
3;NLD;Drenthe;Westerveld;Vledderveen;;;12;
3;NLD;Drenthe;Westerveld;Wapse;;;12;
3;NLD;Drenthe;Westerveld;Wapserveen;;;12;
